NM_DOCENTE,GENERO
TIAGO FONSECA FALKENBACH,Male
LEANDRO NEVES CARDIM,Male
RODRIGO BRANDÃO,Male
ALEXANDRE NORONHA MACHADO,Male
MARIA ADRIANA CAMARGO CAPPELLO,Female
BRENO HAX JUNIOR,Male
PAULO VIEIRA NETO,Male
LUIZ ANTONIO ALVES EVA,Male
ANDRE DE MACEDO DUARTE,Male
MARIA ISABEL DE MAGALHÃES PAPATERRA LIMONGI,Female
LUIZ SÉRGIO REPA,Male
LUCIO SOUZA LOBO,Male
MARCO ANTONIO VALENTIM,Male
WALTER ROMERO MENON JUNIOR,Male
EDELCIO GONÇALVES DE SOUZA,Male
JOEL GRACIOSO,Male
DJALMA MEDEIROS,Male
RACHEL GAZOLLA DE ANDRADE,Female
CARLOS EDUARDO UCHÔA FAGUNDES JUNIOR,Male
JOSÉ CARLOS BRUNI,NA
CARLOS ARTHUR RIBEIRO DO NASCIMENTO,Male
FRANCISCO BENJAMIN DE SOUZA NETTO,Male
MARIA CAROLINA ALVES DOS SANTOS,Female
FRANKLIN LEOPOLDO E SILVA,Male
HÉLIO SALLES GENTIL,NA
GILBERTO TEDEIA,Male
MARILIA MELLO PISANI,Female
MONIQUE HULSHOF,Female
FLORIANO JONAS CESAR,Male
PAULO HENRIQUE FERNANDES SILVEIRA,Male
REGINA ANDRÉ REBOLLO,Female
PAULO JONAS DE LIMA PIVA,Male
SONIA MARIA DION,Female
IVO ASSAD IBRI,Male
PETER PÁL PELBART,Male
ANTONIO JOSÉ ROMERA VALVERDE,Male
MARCELO PERINE,Male
SALMA TANNUS MUCHAIL,Female
MARIO ARIEL GONZÁLEZ PORTA,Male
ALEXANDRE DE OLIVEIRA TORRES CARRASCO,Male
JACIRA DE FREITAS,Female
CESAR RIBAS CEZAR,Male
SANDRO KOBOL FORNAZARI,Male
ARLENICE ALMEIDA DA SILVA,Female
EDUARDO HENRIQUE PEIRUQUE KICKHOFEL,Male
CLAUDEMIR ROQUE TOSSATO,Male
MAURICIO PAGOTTO MARSOLA,Male
EDSON LUÍS DE ALMEIDA TELES,Male
SILVIO ROSA FILHO,Male
JUVENAL SAVIAN FILHO,Male
FERNANDO DIAS ANDRADE,Male
IVO DA SILVA JUNIOR,Male
FRANCISCO DE AMBROSIS PINHEIRO MACHADO,Male
MARCELO SILVA DE CARVALHO,Male
