NM_DOCENTE,GENERO
Regina André Rebollo,Mulher
Paulo Jonas De Lima Piva,Homem
Sonia Maria Dion,Mulher
Ivo Assad Ibri,Homem
Peter Pál Pelbart,Homem
Antonio José Romera Valverde,Homem
Marcelo Perine,Homem
Salma Tannus Muchail,Mulher
Mario Ariel González Porta,Homem
Alexandre De Oliveira Torres Carrasco,Homem
Jacira De Freitas,Mulher
Cesar Ribas Cezar,Homem
Sandro Kobol Fornazari,Homem
Arlenice Almeida Da Silva,Mulher
Eduardo Henrique Peiruque Kickhofel,Homem
Claudemir Roque Tossato,Homem
Mauricio Pagotto Marsola,Homem
Edson Luís De Almeida Teles,Homem
Silvio Rosa Filho,Homem
Juvenal Savian Filho,Homem
Fernando Dias Andrade,Homem
Ivo Da Silva Junior,Homem
Francisco De Ambrosis Pinheiro Machado,Homem
Marcelo Silva De Carvalho,Homem
Rodnei Antônio Do Nascimento,Homem
Rita De Cássia Souza Paiva,Mulher
Plínio Junqueira Smith,Homem
Olgária Chain Féres Matos,Homem
Sonia Campaner Miguel Ferrari,Mulher
Silvia Saviano Sampaio,Mulher
Márcio Alves Da Fonseca,Homem
Luciano Nervo Codato,Homem
Dulce Mara Critelli,Mulher
Jeanne Marie Gagnebin De Bons,Mulher
Antonio Trajano Menezes Arruda,Homem
Maria Constança Peres Pissarra,Mulher
Yolanda Glória Gamboa Muñoz,Mulher
Lucio Lourenço Prado,Homem
Pedro Geraldo Aparecido Novelli,Homem
Clelia Aparecida Martins,Mulher
Ricardo Pereira Tassinari,Homem
Ricardo Monteagudo,Homem
Ubirajara Rancan De Azevedo Marques,Homem
Jézio Hernani Bomfim Gutierre,Homem
Jonas Gonçalves Coelho,Homem
Hércules De Araújo Feitosa,Homem
Alfredo Pereira Junior,Homem
Mariana Claudia Broens,Mulher
Maria Eunice Quilici Gonzales,Mulher
Adrian Oscar Dongo Montoya,Homem
Pedro Paulo Da Costa Coroa,Homem
Leonel Ribeiro Dos Santos,Homem
Frederick Adams,Homem
